age,country,group,height,name,position,position_strg,weight
29,Ireland,Backs,191,Tommy Bowe,1,Wing,106
26,England,Forwards,183,Dan Cole,2,Prop,120
28,England,Forwards,198,Tom Croft,3,Lock,104
23,Wales,Backs,198,Alex Cuthbert,4,Wing,104
25,Wales,Backs,186,Jonathan Davies,5,Centre,106
29,Wales,Forwards,204,Ian Evans,6,Lock,116
23,Wales,Forwards,189,Toby Faletau,7,Back row,110
22,England,Backs,181,Owen Farrell,8,Outside half / Centre,94
24,Scotland,Forwards,205,Richie Gray,9,Lock,120
25,Wales,Backs,178,Leigh Halfpenny,10,Wing,81
27,England,Forwards,185,Dylan Hartley,11,Hooker,113
26,Ireland,Forwards,185,Cian Healy,12,Prop,110
30,Ireland,Forwards,193,Jamie Heaslip,13,No 8,109
30,Wales,Forwards,183,Richard Hibbard,14,Hooker,111
21,Scotland,Backs,184,Stuart Hogg,15,Full back,88
33,Wales,Forwards,188,Gethin Jenkins,16,Prop,122
32,Wales,Forwards,183,Adam Jones,17,Prop,124
28,Wales,Forwards,198,Alun Wyn Jones,18,Lock,117
27,Ireland,Backs,185,Rob Kearney,19,Full back / Wing,90
26,Wales,Forwards,193,Dan Lydiate,20,Back row,109
25,Scotland,Backs,189,Sean Maitland,21,Wing,97
24,Ireland,Backs,183,Conor Murray,22,Scrum half,86
21,Wales,Backs,192,George North,23,Wing,105
26,Ireland,Forwards,189,Sean O'Brien,24,Back row,108
34,Ireland,Forwards,198,Paul O'Connell,25,Lock,111
34,Ireland,Backs,175,Brian O'Driscoll,26,Centre,95
30,England,Forwards,201,Geoff Parling,27,Lock,110
31,Wales,Backs,193,Mike Phillips,28,Outside half /Scrum half,105
27,Wales,Backs,193,Jamie Roberts,29,Centre / Wing,107
28,Ireland,Backs,188,Johnny Sexton,30,Outside half,92
31,England,Forwards,183,Matt Stevens,31,Prop,125
24,Wales,Forwards,188,Justin Tipuric,32,Flanker,100
22,England,Forwards,184,Manu Tuilagi,33,Centre,110
22,England,Forwards,182,Mako Vunipola,34,Prop,121
25,Wales,Forwards,188,Sam Warburton,35,Back row,100
24,England,Backs,179,Ben Youngs,36,Scrum half,76
26,England,Forwards,175,Tom Youngs,37,Hooker,102
